0 length 2842;
0 note 64 101;
58 note 64 0;
322 note 64 100;
434 note 64 0;
687 note 64 100;
743 note 64 0;
1044 note 65 100;
1105 note 65 0;
1202 note 67 100;
1252 note 67 0;
1395 note 64 100;
1491 note 64 0;
1777 note 64 100;
1887 note 64 0;
2131 note 64 100;
2192 note 64 0;
2501 note 64 100;
2550 note 64 0;
2667 note 62 100;
2701 note 62 0;
